Cote;Type;DataType;Dates;Titre;Sous-titre;Auteur;Destinataire;Sujet;Description;Notes;Résumé;Éditeur;Localisation;Droits;Ayants-droit;Format;Langue;État génétique;Relations génétiques;Autres ressources en relation;Nature du document;Support;État général;Publication;Représentation;Contexte géographique;Lieu d'expédition;Type de publication;Titre de la publication;Lieu de publication;Numéro de la publication;Périodicité;Directeur de la publication;Auteur analyse;Date analyse;Auteur description;Date création notice;Auteur révision;Date révision notice;Auteur transcription;
 MX-F-511;;Imagen;2000-2020;Escuela;;Indeterminado;;Escuela Margarita Xirgu;Colegio Público de Educación Infantil y Primaria Margarita Xirgu Madrid España;El archivo original se llama: Anagrama.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Madrid España;;;640x606 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/material/dedicat/escoles/mostoles/Anagrama.jpg;;España Madrid;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-512;;Imagen;2009;Escuela;;Indeterminado;;Escuela Margarita Xirgu;Este curso celebramos nuestro XXV Aniversario de funcionamiento.diseñado por un alumno de 6ºP inspirándose en Elektra  ;El archivo original se llama: logo32.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Madrid España;;;1046x558 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/material/dedicat/escoles/mostoles/logo32.jpg;;España Madrid;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-513;;Imagen;2009;Escuela;;Indeterminado;;Escuela Margarita Xirgu;Este curso celebramos nuestro XXV Aniversario de funcionamiento.diseñado por un alumno de 6ºP inspirándose en Elektra  ;El archivo original se llama:logo35.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Madrid España;;;425x375 jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/material/dedicat/escoles/mostoles/logo35.jpg;;España Madrid;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-514;;Imagen;2009;Escuela;;Indeterminado;;Escuela Margarita Xirgu;Este curso celebramos nuestro XXV Aniversario de funcionamiento.diseñado por un alumno de 6ºP inspirándose en Elektra  ;El archivo original se llama:/mostoles.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Madrid España;;;800x799Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/material/dedicat/escoles/mostoles/mostoles.jpg;;España Madrid;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-515;;Imagen;2009;Escuela;;Indeterminado;;Escuela Margarita Xirgu;Este curso celebramos nuestro XXV Aniversario de funcionamiento.diseñado por un alumno de 6ºP inspirándose en Elektra  ;El archivo original se llama: mostol2.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Madrid España;;;800x805 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/material/dedicat/escoles/mostoles/mostol2.jpg;;España Madrid;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-516;;Imagen;2000-2020;Margarita Xirgu Dibujo;;Indeterminado;;Margarita Xiirgu;"es un oleo que hizo un gran cocinero del centro, Teodoro P

CEIP Margarida Xirgu

Badalona ( Barcelona )";El archivo original se llama: badalona.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;278x279jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/material/dedicat/escoles/badalona.jpg;;Barcelona;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-517;;Imagen;2020;Margarita Xirgu;;Indeterminado;;Calendario;Calendario de las mujeres que hicieron historia;El archivo original se llama:EJWFLq4XkAAb9Zm.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;450x266Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/material/dedicat/EJWFLq4XkAAb9Zm.jpg;;Indeterminado;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-518;;Imagen;2020;Margarita Xirgu;;Indeterminado;;Calendario;Calendario de las mujeres que hicieron historia;El archivo original se llama:Captura%20de%20pantalla%202019-09-18%20a%20les%209.16.56.png;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;500x260 Png;;;;;Archivo Png;Digital;Bueno;http://margaritaxirgu.es/material/dedicat/escoles/Captura%20de%20pantalla%202019-09-18%20a%20les%209.16.56.png;;Indeterminado;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-519;;Imagen;2020;Margarita Xirgu;;Indeterminado;;Calendario;Calendario de las mujeres que hicieron historia;El archivo original se llama: Captura%20de%20pantalla%202019-09-18%20a%20les%209.19.58.png;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;250x500Png;;;;;Archivo Png;Digital;Bueno;http://margaritaxirgu.es/material/dedicat/escoles/Captura%20de%20pantalla%202019-09-18%20a%20les%209.19.58.png;;Indeterminado;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-520;;Imagen;2000-2020;Margarita Xirgu;;Indeterminado;;Dinujo de Margarita Xirgu;Margarita Xirgu vista por los niños y niñas;El archivo original se llama: Dscn3255.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;480x640 Jpg;;;;;Archivo Jpg;Digital;Bueno;http://margaritaxirgu.es/material/dedicat/escoles/lola%20anglada/images/Dscn3255.jpg Mas fotos en este link: http://margaritaxirgu.es/material/dedicat/escoles/lola%20anglada/index.html;;Indeterminado;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-521;;Imagen;1910-1940;Margarita Xirgu;;Indeterminado;;Foto de Margarita Xirgu actuando;el villano en su rincon;El archivo original se llama: ahora 04 06 35 el villano en su rincon lope.PNG;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;906 × 408928,1 ko;;;;;Archivo Pneg;Digital;Bueno;https://photos.google.com/share/AF1QipO4bIK5QjgFXKEhMKWtcHZoWeX4JNxMuam_kv4ej4SwLpWlO7bJ0CXUWCl6VzS4lw/photo/AF1QipOC3OCnjZ34XYhGL-VWd22YuMQAIZCGp5Rm_dLC?key=Mmx3SkhkRkFVa1VGeUtMZmpyNlBnUmlWbnhZeEVR;;Indeterminado;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-522;;Imagen;1910-1940;Margarita Xirgu;;Indeterminado;;Foto de Margarita Xirgu actuando;Margarita Xirgu en el teatro romano de Mérida representando Medea;El archivo original se llama: imagen5.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;300x285 Jpg;;;;;Archivo Pneg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/imagen5.jpg;;Indeterminado;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-523;;Imagen;1910-1940;Margarita Xirgu;;Indeterminado;;Foto de Margarita Xirgu actuando;Margarita Xirgu en el teatro romano de Mérida representando Medea;El archivo original se llama:5.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;350x298 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/5.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-524;;Imagen;1910-1940;Margarita Xirgu;;Indeterminado;;Foto de Margarita Xirgu actuando;Margarita Xirgu en el teatro romano de Mérida representando Medea;El archivo original se llama:mede.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;300x204 jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/mede.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-525;;Imagen;1910-1940;Margarita Xirgu;;Indeterminado;;Foto de Margarita Xirgu actuando;Margarita Xirgu en el teatro romano de Mérida representando Medea;El archivo original se llama:2610285866_17f7dce114.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;300x221 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/2610285866_17f7dce114.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-526;;Imagen;1910-1940;Margarita Xirgu;;Indeterminado;;Foto de Margarita Xirgu actuando;Margarita Xirgu en el teatro romano de Mérida representando Medea;El archivo original se llama:medea3.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;166x30 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/castellano/vivencia/2medea/medea.html;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-527;;Imagen;1910-1940;Margarita Xirgu;;Indeterminado;;Foto de Margarita Xirgu actuando;Margarita Xirgu en el teatro representando Medea;El archivo original se llama:Medea%201933r.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;300x242 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/Medea%201933r.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-528;;Imagen;1910-1940;Margarita Xirgu;;Indeterminado;;Foto de Margarita Xirgu actuando;Margarita Xirgu en el teatro representando Medea;El archivo original se llama:Medea%202a.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;300x195 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/Medea%202a.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-529;;Imagen;1933;Margarita Xirgu;;Indeterminado;;Margarita Xirgu;Rivas Cherif, Borràs y la Xirgu rodeados de alumnos de arquitectura de Madrid, en Mérida en 1933.;El archivo original se llama:Medea%202a.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Merida;;;300x253 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/Merida.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-530;;Imagen;1933;Estreno;;Indeterminado;;Medea;Cartel que presenta el estreno de Medea en 1933;El archivo original se llama:Programa%20Medea.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Merida;;;365x500 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/Programa%20Medea.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-531;;Imagen;1930-1940;Estreno;;Indeterminado;;Medea;Estreno de Medea en Merida;El archivo original se llama:imagen4.jpg;;Responsable del archivo :Indeterminado    Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Merida;;;258x300 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/imagen4.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-532;;Imagen;1933;Estreno;;Indeterminado;;Medea;Estreno de la obra Medea en Merida con mas de 3000 personas;El archivo original se llama:imagen4.jpg;;Responsable del archivo : el Instituto del Teatro de la Diputación de Barcelona Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Merida;;;300x195 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/xirgu.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-533;;Imagen;1933;Estreno;;Indeterminado;;Medea;Estreno de la obra Medea en Merida con mas de 3000 personas;El archivo original se llama:Medea%204a.jpg;;Responsable del archivo : el Instituto del Teatro de la Diputación de Barcelona Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Merida;;;300x194 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/Medea%204a.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-534;;Imagen;1933;Estreno;;Indeterminado;;Medea;Margarida Xirgu el 1933 en Mérida.;El archivo original se llama:Merida%201933%20Hoy.jpg;;Responsable del archivo : el Instituto del Teatro de la Diputación de Barcelona Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Merida;;;246x379 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/Merida%201933%20Hoy.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-535;;Imagen;1933;Estreno;;Indeterminado;;Medea;La Xirgu con Cipriano Rivas Cherif, Enric Borràs y Matilde Muñoz redactora diario Crónica, 2 de julio de 1933 en el parador de Mérida.;El archivo original se llama:merida33.jpg;;Responsable del archivo : el Instituto del Teatro de la Diputación de Barcelona Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Merida;;;350x229 jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/merida33.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-536;;Imagen;1933;Medea;;Indeterminado;;Medea;"Margarita Xirgu interpretando""Medea"".";El archivo original se llama:/Medean.jpg;;Responsable del archivo : el Instituto del Teatro de la Diputación de Barcelona Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Merida;;;300x213Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/Medean.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-537;;Imagen;1933;Medea;;Indeterminado;;Medea;"Margarita Xirgu interpretando""Medea"".";El archivo original se llama:Medea%201a.jpg;;Responsable del archivo : el Instituto del Teatro de la Diputación de Barcelona Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Merida;;;300x189 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/Medea%201a.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-538;;Imagen;1933;Medea;;Indeterminado;;Medea;"Margarita Xirgu interpretando""Medea"".";El archivo original se llama:6.png;;Responsable del archivo : el Instituto del Teatro de la Diputación de Barcelona Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Merida;;;259x400 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/6.png;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-539;;Imagen;1935;Medea;;Indeterminado;;Cartel;Cartel de Manuel Muntanyola ;El archivo original se llama:IMG_4438.jpg;;Responsable del archivo : Indeterminadoecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;245x300 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/IMG_4438.jpg;;Barcelona;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-540;;Imagen;1930-1980;Documento;;Ciudad de Barcelona;;documento oficial;Nombramiento oficial de hijo adoptivo de Mérida a Enric Borràs.;El archivo original se llama:Fills%20predilectes%20Merida.jpg;;Responsable del archivo : Indeterminadoecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;246x300 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/Fills%20predilectes%20Merida.jpg;;Barcelona;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-541;;Imagen;1950-2000;Teatro de Merida;;Albert Prats Prat;;Teatro de Merida;Teatro romano de Mérida;El archivo original se llama:mail4.jpg;;Responsable del archivo :Albert Prats Prat Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Meridaa;;;300x201 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/mail4.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-542;;Imagen;1933;Ticket;;Albert Prats Prat;;Tiecket;Ticket para Medea en el Teaotro romano de Merida;El archivo original se llama:1210593742_extras_albumes_0.jpg;;Responsable del archivo :Albert Prats Prat Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Merida;;;350x237 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/1210593742_extras_albumes_0.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-543;;Imagen;1930-1395;Medea;;Indeterminado;;Medea;Escenario y público en la Plaza de la Armería del Palacio Real de Madrid, antes de la representación de Medea con escenografía de Sigfrido Burmann.;El archivo original se llama:Medea%20Armeria.jpg;;Responsable del archivo : Indeterminado editor: e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Madrid;;;300x217Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/Medea%20Armeria.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-544;;Imagen;1933;Medea;;Indeterminado;;Medea;Margarida Xirgu durante la representación de Medea en el Teatre Grec de Barcelona, en setiembre de 1933.;El archivo original se llama:Medea%20Armeria.jpg;;Responsable del archivo : Teatro de Barcelona Editor:  e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;300x213 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/Medea%20Grec.jpg;;Badalona;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-545;;Imagen;1933;Medea;;Indeterminado;;Medea;Antoni Capdevila, Margarida Xirgu, el Presidente de la Generalitat de Catalunya Francesc Macià, Enric Borràs, los concejales de Cultura Ventura Gassol i de Finanzas Carles Pi i Sunyer, y Cipriano Rivas Cherif, entre otros, después de la representación de Medea el 14 de setiembre de 1933, 3 meses y 10 días antes de la muerte de Francesc Macià.;El archivo original se llama:/images/Medea%20Generalitat.jpg;;Responsable del archivo : Teatro de Barcelona Editor:  e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;300x201 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/Medea%20Generalitat.jpg;;Merida;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-546;;Imagen;1933;Medea;;Indeterminado;;Medea;Despuéss de la representación de Medea en el teatro griego de Montjuich, con el presidente Francesc Macià;El archivo original se llama:/images/Medea%20Generalitat.jpg;;Responsable del archivo : Indeterminado editor: e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;169x350 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/ahora%2017%2009%2033%20margarita%20xirgu%20con%20maci%C3%A0.png;;Barcelona;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-547;;Imagen;1933;Medea;;Indeterminado;;Medea;"""Medea"" de Séneca en versión de Unamuno. Margarita Xirgu y Enric Borràs en la Plaza de la Armería de Madrid, 1933.";El archivo original se llama:medead.jpg;;Responsable del archivo : Indeterminado editor: e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Madrid;;;232x300 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/medead.jpg;;Madrid España;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-548;;Imagen;1933;Medea;;Indeterminado;;Medea;"""Medea""de Séneca en versión de Unamuno, estrenada en el Teatro Romano de Mérida. El maestro Capdevilla, Enric Borràs y Margarita Xirgu, el 14 de setiembre de 1933, en el Teatre Grec de Barcelona";El archivo original se llama:medeabi.jpg;;Responsable del archivo : Indeterminado editor: e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Merida;;;197x300Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/medeabi.jpg;;Medirda;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-549;;Imagen;1933;Medea;;Indeterminado;;Medea Cartel;Cartel para Medea;El archivo original se llama:grecinst%20teatre.jpg;;Responsable del archivo : Indeterminado editor: e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);España;;;207x300 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/grecinst%20teatre.jpg;;Barcelona;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-550;;Imagen;1933;Medea;;Indeterminado;;Medea;Medea Teatro Griego. Barcelona. Séneca;El archivo original se llama:327355-0.jpg;;Responsable del archivo : Indeterminado editor: e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;350x249 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/327355-0.jpg;;Barcelona;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-551;;Imagen;1936;Medea;;Indeterminado;;Medea;Cartel publicidad para Medea;El archivo original se llama:Imagen1.jpg;;Responsable del archivo : Indeterminado editor: e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;300x317 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/imagen1.jpg;;Indeterminado;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-552;;Imagen;1930-1950;Medea en Hispanoamerica;;Indeterminado;;Medea;Medea en hispanoamerica;El archivo original se llama:1210594286.jpg;;Responsable del archivo : Indeterminado editor: e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;287x300 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/1210594286.jpg;;Hispanoameirca;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-553;;Imagen;1930-1950;Medea en Hispanoamerica;;Indeterminado;;Medea; Margarita Xirgu y Miguel de Unamuno;El archivo original se llama:1210594286.jpg;;Responsable del archivo : Indeterminado editor: e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Indeterminado;;;287x300jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/1210594286.jpg;;Hispanoameirca;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
 MX-F-554;;Imagen;1930-1960;Medea en Hispanoamerica;;Indeterminado;;Medea;Xirgu- Unamuno- Borràs;El archivo original se llama:unamuno.jpg;;Responsable del archivo : Indeterminado editor: e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Salamanca;;;235x300 Jpg;;;;;Archivo jpg;Digital;Bueno;http://margaritaxirgu.es/vivencia/2medea/2medea/images/unamuno.jpg;;Hispanoameirca;;;;;;;;Gil Alan;$2020-04-20$;Alan Gil;$2020-04-20$;;;;
